ts_unix,nid,sats_used,sats_visible,pdop,hdop,vdop,gdop
1755755555.263,124,0,0,0.00,0.81,1.07,0.00
1755755555.463,124,0,0,0.00,0.81,1.07,0.00
1755755555.659,124,0,0,0.00,0.81,1.07,0.00
1755755555.862,124,0,0,0.00,0.81,1.07,0.00
1755755556.069,124,0,0,0.00,0.81,1.07,0.00
1755755556.262,124,0,0,0.00,0.81,1.07,0.00
1755755556.461,124,0,0,0.00,0.81,1.07,0.00
1755755556.662,124,0,0,0.00,0.81,1.07,0.00
1755755556.862,124,0,0,0.00,0.81,1.07,0.00
1755755557.071,124,0,0,0.00,0.81,1.07,0.00
1755755557.264,124,0,0,0.00,0.81,1.07,0.00
1755755557.460,124,0,0,0.00,0.81,1.07,0.00
1755755557.663,124,0,0,0.00,0.81,1.07,0.00
1755755557.863,124,0,0,0.00,0.81,1.07,0.00
1755755558.074,124,0,0,0.00,0.81,1.08,0.00
1755755558.262,124,0,0,0.00,0.81,1.07,0.00
1755755558.463,124,0,0,0.00,0.81,1.07,0.00
1755755558.663,124,0,0,0.00,0.81,1.07,0.00
1755755558.865,124,0,0,0.00,0.81,1.07,0.00
1755755559.080,124,0,0,0.00,0.81,1.07,0.00
1755755559.265,124,0,0,0.00,0.82,1.07,0.00
1755755559.466,124,0,0,0.00,0.82,1.07,0.00
1755755559.668,124,0,0,0.00,0.81,1.07,0.00
1755755559.866,124,0,0,0.00,0.81,1.07,0.00
1755755560.070,124,0,0,0.00,0.82,1.07,0.00
1755755560.265,124,0,0,0.00,0.82,1.07,0.00
1755755560.464,124,0,0,0.00,0.82,1.07,0.00
1755755560.664,124,0,0,0.00,0.82,1.07,0.00
1755755560.864,124,0,0,0.00,0.82,1.07,0.00
1755755561.075,124,0,0,0.00,0.82,1.07,0.00
1755755561.266,124,0,0,0.00,0.71,1.01,0.00
1755755561.467,124,0,0,0.00,0.72,1.03,0.00
1755755561.666,124,0,0,0.00,0.72,1.03,0.00
1755755561.861,124,0,0,0.00,0.72,1.03,0.00
1755755562.075,124,0,0,0.00,0.82,1.07,0.00
1755755562.265,124,0,0,0.00,0.82,1.07,0.00
1755755562.466,124,0,0,0.00,0.71,1.01,0.00
1755755562.665,124,0,0,0.00,0.71,1.01,0.00
1755755562.867,124,0,0,0.00,0.82,1.07,0.00
1755755563.076,124,0,0,0.00,0.82,1.07,0.00
1755755563.268,124,0,0,0.00,0.82,1.07,0.00
1755755563.467,124,0,0,0.00,0.82,1.07,0.00
1755755563.662,124,0,0,0.00,0.71,1.01,0.00
1755755563.867,124,0,0,0.00,0.71,1.01,0.00
1755755564.076,124,0,0,0.00,0.82,1.07,0.00
1755755564.267,124,0,0,0.00,0.65,0.98,0.00
1755755564.467,124,0,0,0.00,0.65,0.98,0.00
1755755564.666,124,0,0,0.00,0.65,0.98,0.00
1755755564.865,124,0,0,0.00,0.65,0.98,0.00
1755755565.076,124,0,0,0.00,0.65,0.98,0.00
1755755565.265,124,0,0,0.00,0.65,0.98,0.00
1755755565.461,124,0,0,0.00,0.71,1.00,0.00
1755755565.666,124,0,0,0.00,0.71,1.00,0.00
1755755565.867,124,0,0,0.00,0.65,0.98,0.00
1755755566.072,124,0,0,0.00,0.65,1.00,0.00
1755755566.264,124,0,0,0.00,0.65,1.00,0.00
1755755566.463,124,0,0,0.00,0.65,1.00,0.00
1755755566.662,124,0,0,0.00,0.65,1.00,0.00
1755755566.864,124,0,0,0.00,0.65,1.00,0.00
1755755567.072,124,0,0,0.00,0.72,1.02,0.00
1755755567.261,124,0,0,0.00,0.65,1.00,0.00
1755755567.462,124,0,0,0.00,0.65,1.00,0.00
1755755567.662,124,0,0,0.00,0.65,1.00,0.00
1755755567.861,124,0,0,0.00,0.65,1.00,0.00
1755755568.068,124,0,0,0.00,0.65,1.00,0.00
1755755568.262,124,0,0,0.00,0.65,0.98,0.00
1755755568.462,124,0,0,0.00,0.65,0.98,0.00
1755755568.663,124,0,0,0.00,0.65,0.98,0.00
1755755568.862,124,0,0,0.00,0.65,0.98,0.00
1755755569.071,124,0,0,0.00,0.65,0.98,0.00
1755755569.264,124,0,0,0.00,0.65,0.98,0.00
1755755569.461,124,0,0,0.00,0.65,0.98,0.00
1755755569.660,124,0,0,0.00,0.65,0.98,0.00
1755755569.860,124,0,0,0.00,0.65,0.98,0.00
1755755570.071,124,0,0,0.00,0.71,1.00,0.00
1755755570.263,124,0,0,0.00,0.65,0.98,0.00
1755755570.464,124,0,0,0.00,0.65,0.98,0.00
1755755570.663,124,0,0,0.00,0.65,0.98,0.00
1755755570.863,124,0,0,0.00,0.65,0.98,0.00
1755755571.076,124,0,0,0.00,0.65,0.98,0.00
1755755571.265,124,0,0,0.00,0.65,0.98,0.00
1755755571.464,124,0,0,0.00,0.65,0.98,0.00
1755755571.663,124,0,0,0.00,0.65,0.98,0.00
1755755571.865,124,0,0,0.00,0.65,0.98,0.00
1755755572.075,124,0,0,0.00,0.65,0.98,0.00
1755755572.268,124,0,0,0.00,0.65,0.98,0.00
1755755572.466,124,0,0,0.00,0.65,0.98,0.00
1755755572.664,124,0,0,0.00,0.64,0.97,0.00
1755755572.867,124,0,0,0.00,0.64,0.97,0.00
1755755573.076,124,0,0,0.00,0.69,1.00,0.00
1755755573.266,124,0,0,0.00,0.64,0.97,0.00
1755755573.463,124,0,0,0.00,0.64,0.97,0.00
1755755573.665,124,0,0,0.00,0.64,0.97,0.00
1755755573.868,124,0,0,0.00,0.64,0.97,0.00
1755755574.080,124,0,0,0.00,0.69,1.00,0.00
1755755574.268,124,0,0,0.00,0.69,1.00,0.00
1755755574.467,124,0,0,0.00,0.64,0.97,0.00
1755755574.670,124,0,0,0.00,0.64,0.97,0.00
1755755574.869,124,0,0,0.00,0.64,0.97,0.00
1755755575.079,124,0,0,0.00,0.64,0.97,0.00
1755755575.263,124,0,0,0.00,0.64,0.97,0.00
1755755575.465,124,0,0,0.00,0.64,0.97,0.00
1755755575.664,124,0,0,0.00,0.64,0.97,0.00
1755755575.870,124,0,0,0.00,0.64,0.97,0.00
